GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica1,default,ClubDeportivoMain,68,0,0,0,12,0,2,0,2,0
practica1,clubdeportivo,ClubDeportivoAltoRendimiento,110,0,12,0,27,0,10,0,4,0
practica1,clubdeportivo,ClubException,7,0,0,0,4,0,2,0,2,0
practica1,clubdeportivo,ClubDeportivo,267,0,30,0,63,0,24,0,9,0
practica1,clubdeportivo,Grupo,173,0,22,0,32,0,23,0,12,0
